sequence,track_id,n_frames,path_length_um,net_displacement_um,mean_speed_um_per_min,directionality
01,1,115,206.0269622783352,40.450947067701044,0.12048360367154105,0.19633812303194198
01,2,115,251.84616733209774,68.44061103703581,0.14727846042812734,0.27175561876542825
01,3,115,202.72169606402278,35.60141596101258,0.1185506994526449,0.1756171966407043
01,4,115,413.9874824896281,30.583236954407383,0.2420979429763907,0.07387478667346808
01,5,115,537.5789337992923,67.83916289597407,0.31437364549666214,0.12619386406481128
01,6,78,225.3716662696787,156.5636607049785,0.19512698378327162,0.6946909666880448
01,10,113,319.54269635976914,52.54060868560123,0.18852076481402308,0.1644243767238116
01,30,19,45.76043683857004,3.667939291700823,0.16056293627568435,0.08015525080410142
01,32,37,85.0072315681572,32.70383717182777,0.1574207992002911,0.3847182947677393
02,2,114,248.99834726005307,68.37056951409825,0.14561306857313044,0.2745824230017569
02,3,115,141.06971774273086,1.8673960384737645,0.08249691096066132,0.013237398276215017
02,4,115,251.74025241525788,46.436660000942965,0.14721652188026776,0.18446259410411417
02,5,115,262.3136444886052,29.647686356027904,0.15339979209859952,0.1130238055813974
02,6,36,108.63621307983422,68.55224249208109,0.20692612015206518,0.631025700810315
02,7,115,330.7005371564155,175.91992609290483,0.19339212699205585,0.5319614162274487
02,9,5,3.9526460617528967,1.2516911996570375,0.06587743436254828,0.31667171310095615
02,10,10,2.739523854027686,0.3047501611839989,0.02029276928909397,0.11124201774551112
02,13,6,30.41831061949319,24.850944397183113,0.40557747492657586,0.8169731944698368
02,16,71,160.11879998394778,64.77401927241645,0.1524940952228074,0.40453725158388754
02,17,8,10.140389911935449,8.878262536210569,0.09657514201843284,0.8755346306516941
02,24,36,25.020958202287463,17.82943105580944,0.04633510778201382,0.7125798665128437
02,30,18,18.895605829476242,3.4025810181938607,0.06998372529435645,0.18007260782747686
